repo,stars,created_at,pushed_at,age_years,days_since_last_update,merged_prs,releases,primary_language,issues_open,issues_closed,issues_total,issues_closed_ratio
linera-io/linera-protocol,32136,2021-12-19T04:09:21Z,2026-03-06T23:26:29Z,4.21,0,3551,31,Rust,541,903,1444,0.6253
apache/kafka,32124,2011-08-15T18:06:16Z,2026-03-06T22:35:07Z,14.56,0,12779,0,Java,0,0,0,0.0
frappe/erpnext,32100,2011-06-08T08:20:56Z,2026-03-06T20:59:29Z,14.74,0,28726,1000,Python,1953,15806,17759,0.89
PDFMathTranslate/PDFMathTranslate,32072,2024-09-06T06:56:03Z,2025-11-25T11:49:48Z,1.49,101,136,24,Python,125,732,857,0.8541
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,32062,2021-01-02T12:08:37Z,2025-08-01T11:54:09Z,5.17,217,3,0,None,48,26,74,0.3514
cockroachdb/cockroach,31996,2014-02-06T00:18:47Z,2026-03-06T23:52:33Z,12.08,-1,72848,0,Go,6651,75829,82480,0.9194
NginxProxyManager/nginx-proxy-manager,31986,2017-12-20T23:01:16Z,2026-03-06T14:15:08Z,8.21,0,683,86,TypeScript,847,2344,3191,0.7346
lovell/sharp,31984,2013-08-19T20:24:24Z,2026-03-04T08:35:42Z,12.54,2,311,107,JavaScript,118,3912,4030,0.9707
linexjlin/GPTs,31980,2023-11-11T03:24:16Z,2024-09-27T03:31:47Z,2.32,525,45,0,None,10,21,31,0.6774
nicolargo/glances,31965,2011-12-04T08:49:15Z,2026-03-05T10:57:05Z,14.25,1,772,55,Python,131,2030,2161,0.9394
hasura/graphql-engine,31914,2018-06-18T07:57:36Z,2026-03-06T12:33:36Z,7.72,0,2110,300,TypeScript,2244,4165,6409,0.6499
PostHog/posthog,31912,2020-01-23T22:46:58Z,2026-03-06T23:46:45Z,6.12,-1,34695,86,Python,2730,6364,9094,0.6998
dokku/dokku,31892,2013-06-08T10:26:57Z,2026-03-06T13:52:54Z,12.74,0,4511,317,Shell,27,2817,2844,0.9905
