repo,stars,created_at,pushed_at,age_years,days_since_last_update,merged_prs,releases,primary_language,issues_open,issues_closed,issues_total,issues_closed_ratio
codecrafters-io/build-your-own-x,472904,2018-05-09T12:03:18Z,2026-02-21T09:34:54Z,7.82,13,155,0,Markdown,235,653,888,0.7354
sindresorhus/awesome,443130,2014-07-11T13:42:37Z,2026-03-04T16:56:28Z,11.65,2,694,0,None,16,349,365,0.9562
freeCodeCamp/freeCodeCamp,437843,2014-12-24T17:49:19Z,2026-03-06T22:38:44Z,11.2,0,27781,0,TypeScript,174,20983,21157,0.9918
public-apis/public-apis,404792,2016-03-20T23:49:42Z,2026-02-19T15:14:35Z,9.96,15,1872,0,Python,6,833,839,0.9928
EbookFoundation/free-programming-books,383681,2013-10-11T06:50:37Z,2026-03-06T17:40:11Z,12.4,0,7333,0,Python,36,1228,1264,0.9715
kamranahmedse/developer-roadmap,350330,2017-03-15T13:45:52Z,2026-03-06T15:06:44Z,8.97,0,4077,1,TypeScript,31,3056,3087,0.99
jwasham/coding-interview-university,337641,2016-06-06T02:34:12Z,2025-08-28T14:42:47Z,9.75,190,415,0,None,71,454,525,0.8648
donnemartin/system-design-primer,337639,2017-02-26T16:15:28Z,2025-11-03T12:06:22Z,9.02,123,203,0,Python,250,110,360,0.3056
vinta/awesome-python,285912,2014-06-27T21:00:06Z,2026-03-04T17:17:10Z,11.69,2,641,0,Python,0,0,0,0.0
awesome-selfhosted/awesome-selfhosted,278007,2015-06-01T02:33:17Z,2026-02-27T19:02:23Z,10.76,7,2395,1,None,0,807,807,1.0
996icu/996.ICU,275670,2019-03-26T07:31:14Z,2025-08-22T06:01:29Z,6.95,196,1072,0,None,0,0,0,0.0
openclaw/openclaw,270868,2025-11-24T10:16:47Z,2026-03-06T23:37:07Z,0.28,0,2805,59,TypeScript,5609,10148,15757,0.644
practical-tutorials/project-based-learning,260390,2017-04-12T05:07:46Z,2024-08-15T05:33:54Z,8.9,568,182,0,None,145,82,227,0.3612
facebook/react,243682,2013-05-24T16:15:54Z,2026-03-05T15:52:24Z,12.78,1,12774,118,JavaScript,811,13577,14388,0.9436
torvalds/linux,221222,2011-09-04T22:48:12Z,2026-03-06T21:55:30Z,14.5,0,0,0,C,0,0,0,0.0
TheAlgorithms/Python,218396,2016-07-16T09:44:01Z,2026-03-02T18:33:49Z,9.64,4,3046,0,Python,162,1540,1702,0.9048
vuejs/vue,209961,2013-07-29T03:24:51Z,2024-10-10T07:24:15Z,12.6,512,1136,249,TypeScript,359,9669,10028,0.9642
trimstray/the-book-of-secret-knowledge,208951,2018-06-23T10:43:14Z,2024-11-19T14:00:38Z,7.7,472,122,0,None,0,0,0,0.0
ossu/computer-science,202182,2014-05-04T00:18:39Z,2026-03-04T01:29:26Z,11.84,2,305,0,HTML,12,654,666,0.982
trekhleb/javascript-algorithms,195748,2018-03-24T07:47:04Z,2026-02-18T09:20:06Z,7.95,16,304,0,JavaScript,138,234,372,0.629
tensorflow/tensorflow,194017,2015-11-07T01:19:20Z,2026-03-06T23:41:24Z,10.33,0,42339,222,C++,894,40303,41197,0.9783
ohmyzsh/ohmyzsh,185150,2009-08-28T18:15:37Z,2026-03-06T11:09:18Z,16.52,0,3517,0,Shell,142,4892,5034,0.9718
getify/You-Dont-Know-JS,184467,2013-11-16T02:37:24Z,2026-02-15T04:36:44Z,12.3,19,370,0,None,0,949,949,1.0
CyC2018/CS-Notes,183827,2018-02-13T14:56:24Z,2024-08-21T09:40:10Z,8.06,562,374,0,None,129,449,578,0.7768
microsoft/vscode,182368,2015-09-03T20:23:38Z,2026-03-06T23:44:04Z,10.51,0,43393,197,TypeScript,13485,218883,232368,0.942
Significant-Gravitas/AutoGPT,182229,2023-03-16T09:21:07Z,2026-03-06T23:32:16Z,2.97,0,3982,94,Python,231,3509,3740,0.9382
jackfrued/Python-100-Days,179331,2018-03-01T16:05:52Z,2026-02-25T03:39:28Z,8.01,9,13,0,Jupyter Notebook,523,188,711,0.2644
n8n-io/n8n,177922,2019-06-22T09:24:21Z,2026-03-06T23:44:11Z,6.7,0,14137,548,TypeScript,467,7764,8231,0.9433
flutter/flutter,175453,2015-03-06T22:54:58Z,2026-03-06T23:27:49Z,11.0,0,46950,7,Dart,12166,100299,112465,0.8918
twbs/bootstrap,174028,2011-07-29T21:19:00Z,2026-03-06T17:07:17Z,14.6,0,9116,94,MDX,389,22459,22848,0.983
github/gitignore,172866,2010-11-08T20:17:14Z,2026-02-12T17:50:51Z,15.32,22,1727,0,None,0,0,0,0.0
massgravel/Microsoft-Activation-Scripts,167904,2020-01-12T23:03:34Z,2026-02-22T00:26:42Z,6.15,12,5,29,Batchfile,2,906,908,0.9978
avelino/awesome-go,166730,2014-07-06T13:42:15Z,2026-03-06T01:02:41Z,11.67,0,3610,0,Go,14,713,727,0.9807
ollama/ollama,164293,2023-06-26T19:39:32Z,2026-03-06T23:15:54Z,2.69,0,3076,189,Go,1995,7505,9500,0.79
AUTOMATIC1111/stable-diffusion-webui,161523,2022-08-22T14:05:26Z,2026-03-02T07:00:53Z,3.54,4,1884,27,Python,2401,5487,7888,0.6956
jlevy/the-art-of-command-line,160125,2015-05-20T15:11:03Z,2024-06-25T18:13:44Z,10.8,619,317,0,None,122,136,258,0.5271
huggingface/transformers,157501,2018-10-29T13:56:00Z,2026-03-06T22:28:42Z,7.35,0,18746,244,Python,1081,17592,18673,0.9421
Snailclimb/JavaGuide,154083,2018-05-07T13:27:00Z,2026-03-04T12:27:07Z,7.83,2,1213,0,Java,75,1057,1132,0.9337
DigitalPlatDev/FreeDomain,150996,2024-05-30T13:23:00Z,2026-03-02T19:54:24Z,1.77,4,1,0,HTML,0,0,0,0.0
f/prompts.chat,150371,2022-12-05T13:54:13Z,2026-03-06T06:30:20Z,3.25,0,201,0,HTML,3,128,131,0.9771
yt-dlp/yt-dlp,149929,2020-10-26T04:22:55Z,2026-03-03T16:54:37Z,5.36,3,3229,131,Python,1822,9307,11129,0.8363
airbnb/javascript,148100,2012-11-01T23:13:50Z,2026-02-24T14:05:16Z,13.34,10,813,0,JavaScript,103,1301,1404,0.9266
langflow-ai/langflow,145326,2023-02-08T22:28:03Z,2026-03-06T22:39:44Z,3.07,0,5799,285,Python,341,2824,3165,0.8923
521xueweihan/HelloGitHub,145033,2016-05-04T06:24:11Z,2026-02-28T00:44:03Z,9.84,6,17,63,Python,283,2681,2964,0.9045
ytdl-org/youtube-dl,139807,2010-10-31T14:35:07Z,2026-02-19T16:45:25Z,15.35,15,1646,341,Python,3629,23190,26819,0.8647
vercel/next.js,138188,2016-10-05T23:32:51Z,2026-03-06T23:25:45Z,9.42,0,26157,1000,JavaScript,2051,22265,24316,0.9157
yangshun/tech-interview-handbook,138012,2016-07-05T05:00:48Z,2026-01-26T00:36:45Z,9.67,39,486,0,TypeScript,44,77,121,0.6364
Genymobile/scrcpy,136588,2017-11-21T18:00:27Z,2026-02-25T23:25:37Z,8.29,9,123,50,C,2675,3285,5960,0.5512
labuladong/fucking-algorithm,132935,2020-02-19T09:01:23Z,2026-02-28T10:07:31Z,6.04,6,244,0,Markdown,1,962,963,0.999
golang/go,132923,2014-08-19T04:33:40Z,2026-03-06T23:07:22Z,11.55,0,1,0,Go,9434,61001,70435,0.8661
langgenius/dify,131479,2023-04-12T07:40:24Z,2026-03-06T14:05:20Z,2.9,0,9733,158,TypeScript,396,16359,16755,0.9764
microsoft/PowerToys,130266,2019-05-01T17:44:02Z,2026-03-06T21:27:24Z,6.85,0,6351,127,C#,8088,30173,38261,0.7886
x1xhlol/system-prompts-and-models-of-ai-tools,128993,2025-03-05T16:38:29Z,2026-03-05T15:28:06Z,1.0,1,46,0,None,81,108,189,0.5714
langchain-ai/langchain,128483,2022-10-17T02:58:36Z,2026-03-06T22:45:45Z,3.38,0,16047,1000,Python,246,8874,9120,0.973
Chalarangelo/30-seconds-of-code,126970,2017-11-29T17:35:03Z,2026-03-04T23:12:29Z,8.27,2,836,12,JavaScript,0,300,300,1.0
open-webui/open-webui,126000,2023-10-06T22:08:27Z,2026-03-06T22:25:01Z,2.41,0,3332,152,Python,180,7635,7815,0.977
facebook/react-native,125510,2015-01-09T18:10:16Z,2026-03-06T22:09:59Z,11.15,0,958,445,C++,750,26830,27580,0.9728
krahets/hello-algo,122715,2022-11-04T11:08:34Z,2026-01-23T10:40:44Z,3.33,42,968,10,Java,8,274,282,0.9716
kubernetes/kubernetes,120964,2014-06-06T22:56:04Z,2026-03-06T22:02:18Z,11.75,0,64027,784,Go,1845,46792,48637,0.9621
electron/electron,120341,2013-04-12T01:47:36Z,2026-03-06T22:56:52Z,12.9,0,24562,1000,C++,737,20742,21479,0.9657
ripienaar/free-for-dev,118736,2015-03-18T21:06:26Z,2026-03-04T10:34:00Z,10.97,2,2900,0,HTML,0,0,0,0.0
excalidraw/excalidraw,118153,2020-01-02T01:04:43Z,2026-03-06T19:45:00Z,6.17,0,3842,14,TypeScript,2085,2562,4647,0.5513
anomalyco/opencode,117350,2025-04-30T20:08:00Z,2026-03-06T23:36:33Z,0.85,0,2599,730,TypeScript,4764,5125,9889,0.5183
justjavac/free-programming-books-zh_CN,116409,2013-11-04T01:59:19Z,2024-07-15T08:55:20Z,12.33,599,282,3,None,0,0,0,0.0
nodejs/node,116108,2014-11-26T19:57:11Z,2026-03-06T22:14:53Z,11.27,0,11898,486,JavaScript,1757,18336,20093,0.9126
iptv-org/iptv,112495,2018-11-14T22:00:57Z,2026-03-06T20:51:50Z,7.31,0,6822,0,TypeScript,304,21451,21755,0.986
d3/d3,112473,2010-09-27T17:22:42Z,2025-12-02T17:48:19Z,15.44,94,494,194,Shell,10,2229,2239,0.9955
mrdoob/three.js,111202,2010-03-23T18:58:01Z,2026-03-06T23:20:54Z,15.95,0,15237,175,JavaScript,442,13066,13508,0.9673
rust-lang/rust,110974,2010-06-16T20:39:03Z,2026-03-06T23:36:54Z,15.72,0,69578,147,Rust,11137,50479,61616,0.8193
rustdesk/rustdesk,108773,2020-09-28T15:36:08Z,2026-03-05T15:10:40Z,5.43,1,3946,36,Rust,61,3941,4002,0.9848
axios/axios,108588,2014-08-18T22:30:27Z,2026-03-06T21:50:51Z,11.55,0,1136,109,JavaScript,201,4758,4959,0.9595
microsoft/TypeScript,108035,2014-06-17T15:28:39Z,2026-03-06T17:56:53Z,11.72,0,14857,215,TypeScript,4977,37983,42960,0.8841
Hack-with-Github/Awesome-Hacking,107858,2016-03-30T15:47:10Z,2025-01-18T01:48:02Z,9.93,412,34,0,None,0,0,0,0.0
shadcn-ui/ui,107858,2023-01-04T12:43:27Z,2026-03-06T18:41:36Z,3.17,0,1015,76,TypeScript,979,2953,3932,0.751
microsoft/generative-ai-for-beginners,107612,2023-06-19T16:28:59Z,2026-03-06T14:27:54Z,2.71,0,542,0,Jupyter Notebook,2,206,208,0.9904
godotengine/godot,107438,2014-01-04T16:05:36Z,2026-03-06T18:44:23Z,12.17,0,41454,66,C++,12983,48308,61291,0.7882
GrowingGit/GitHub-Chinese-Top-Charts,106623,2019-09-05T03:01:56Z,2024-10-12T06:51:36Z,6.5,510,0,0,Java,181,162,343,0.4723
denoland/deno,106314,2018-05-15T01:34:26Z,2026-03-06T21:08:09Z,7.81,0,14310,368,Rust,2349,11608,13957,0.8317
goldbergyoni/nodebestpractices,105151,2017-09-15T08:33:19Z,2025-04-15T21:52:42Z,8.47,325,766,0,Dockerfile,49,286,335,0.8537
Comfy-Org/ComfyUI,105046,2023-01-17T03:15:56Z,2026-03-06T23:44:20Z,3.13,0,2218,125,Python,3458,4514,7972,0.5662
fatedier/frp,104934,2015-12-21T15:24:59Z,2026-03-06T17:33:39Z,10.21,0,745,109,Go,38,4023,4061,0.9906
papers-we-love/papers-we-love,103862,2013-12-15T14:31:41Z,2026-02-22T13:38:07Z,12.22,12,439,0,Shell,2,246,248,0.9919
facebook/create-react-app,103825,2016-07-17T14:55:11Z,2025-02-15T01:32:11Z,9.63,384,1949,83,JavaScript,1848,6574,8422,0.7806
tauri-apps/tauri,103710,2019-07-13T09:09:37Z,2026-03-06T13:07:16Z,6.65,0,5401,0,Rust,1258,4912,6170,0.7961
microsoft/terminal,102043,2017-08-11T18:38:22Z,2026-03-06T19:20:56Z,8.57,0,4379,148,C++,1650,12169,13819,0.8806
deepseek-ai/DeepSeek-V3,101915,2024-12-26T09:52:40Z,2025-08-28T03:24:37Z,1.19,190,25,1,Python,46,680,726,0.9366
clash-verge-rev/clash-verge-rev,100854,2023-11-21T18:24:03Z,2026-03-06T18:06:04Z,2.29,0,752,62,TypeScript,168,4837,5005,0.9664
angular/angular,100078,2014-09-18T16:12:01Z,2026-03-06T23:32:15Z,11.46,0,5691,610,TypeScript,999,29376,30375,0.9671
Shubhamsaboo/awesome-llm-apps,100038,2024-04-29T05:30:25Z,2026-03-02T07:16:17Z,1.85,4,170,0,Python,0,121,121,1.0
jaywcjlove/awesome-mac,99603,2016-07-17T15:33:47Z,2026-03-06T02:16:57Z,9.63,0,1081,13,JavaScript,135,378,513,0.7368
supabase/supabase,98629,2019-10-12T05:56:49Z,2026-03-06T23:28:02Z,6.4,0,15602,26,TypeScript,261,4981,5242,0.9502
Anduin2017/HowToCook,98562,2020-02-29T10:43:49Z,2026-03-03T17:40:28Z,6.02,3,614,4,Dockerfile,463,364,827,0.4401
mtdvio/every-programmer-should-know,98190,2017-08-24T13:18:26Z,2025-12-29T19:37:02Z,8.53,67,110,0,None,14,31,45,0.6889
2dust/v2rayN,98046,2019-07-30T03:47:24Z,2026-03-05T18:44:40Z,6.6,1,395,300,C#,8,6592,6600,0.9988
mui/material-ui,98013,2014-08-18T19:11:54Z,2026-03-06T09:02:54Z,11.55,0,21491,558,JavaScript,1596,18753,20349,0.9216
pytorch/pytorch,98004,2016-08-13T05:26:41Z,2026-03-06T23:45:53Z,9.56,-1,6428,64,Python,16080,41080,57160,0.7187
ant-design/ant-design,97682,2015-04-24T15:37:24Z,2026-03-06T17:09:08Z,10.87,0,17072,740,TypeScript,1281,31131,32412,0.9605
neovim/neovim,96996,2014-01-31T13:39:22Z,2026-03-06T18:34:47Z,12.09,0,17743,48,Vim Script,1639,12112,13751,0.8808
ggml-org/llama.cpp,96980,2023-03-10T18:58:00Z,2026-03-06T21:34:16Z,2.99,0,7497,1000,C++,441,6697,7138,0.9382
google-gemini/gemini-cli,96704,2025-04-17T17:04:31Z,2026-03-06T23:44:20Z,0.88,0,5309,396,TypeScript,2116,8720,10836,0.8047
fastapi/fastapi,95959,2018-12-08T08:21:47Z,2026-03-06T17:54:41Z,7.24,0,3171,269,Python,11,3495,3506,0.9969
nvbn/thefuck,95619,2015-04-08T15:08:04Z,2024-07-19T14:56:13Z,10.91,595,481,17,Python,297,477,774,0.6163
openai/whisper,95546,2022-09-16T20:02:54Z,2025-12-15T10:18:21Z,3.47,81,119,13,Python,0,0,0,0.0
microsoft/Web-Dev-For-Beginners,95389,2020-11-10T02:44:00Z,2026-03-06T18:53:58Z,5.32,0,668,0,JavaScript,37,387,424,0.9127
ryanmcdermott/clean-code-javascript,94313,2016-11-25T22:25:41Z,2024-07-29T07:24:37Z,9.28,585,149,0,JavaScript,80,165,245,0.6735
immich-app/immich,94165,2022-02-03T15:56:27Z,2026-03-06T23:10:08Z,4.08,0,8735,287,TypeScript,518,7494,8012,0.9353
tailwindlabs/tailwindcss,93930,2017-10-06T14:59:14Z,2026-03-06T22:54:42Z,8.41,0,3302,300,TypeScript,51,4720,4771,0.9893
iluwatar/java-design-patterns,93799,2014-08-09T16:45:18Z,2026-03-01T21:28:10Z,11.57,5,1520,0,Java,139,839,978,0.8579
puppeteer/puppeteer,93731,2017-05-09T22:16:13Z,2026-03-05T14:35:28Z,8.82,1,5836,646,TypeScript,258,7065,7323,0.9648
nvm-sh/nvm,92071,2010-04-15T17:47:47Z,2026-02-20T05:44:06Z,15.89,14,741,71,Shell,331,2062,2393,0.8617
deepseek-ai/DeepSeek-R1,91928,2025-01-20T11:57:28Z,2025-06-27T08:35:54Z,1.12,252,10,1,None,29,664,693,0.9582
florinpop17/app-ideas,90981,2019-02-25T18:36:56Z,2025-10-11T14:51:21Z,7.03,146,151,0,None,145,51,196,0.2602
PanJiaChen/vue-element-admin,90289,2017-04-17T03:35:49Z,2024-10-24T11:25:46Z,8.88,498,311,49,Vue,1256,2357,3613,0.6524
microsoft/markitdown,90229,2024-11-13T19:56:40Z,2026-02-20T19:41:55Z,1.31,14,170,18,Python,302,84,386,0.2176
storybookjs/storybook,89368,2016-03-18T04:23:44Z,2026-03-06T17:49:00Z,9.97,0,12300,1000,TypeScript,2107,12052,14159,0.8512
firecrawl/firecrawl,88904,2024-04-15T21:02:29Z,2026-03-06T23:39:39Z,1.89,0,1369,32,TypeScript,43,781,824,0.9478
bitcoin/bitcoin,88369,2010-12-19T15:16:43Z,2026-03-06T20:07:53Z,15.21,0,16176,63,C++,361,8653,9014,0.96
gin-gonic/gin,88207,2014-06-16T23:57:25Z,2026-03-04T06:10:38Z,11.72,2,1224,29,Go,596,1786,2382,0.7498
oven-sh/bun,87925,2021-04-14T00:48:17Z,2026-03-06T23:41:16Z,4.89,0,7177,210,Zig,4848,10927,15775,0.6927
ChatGPTNextWeb/NextChat,87442,2023-03-10T18:27:54Z,2025-12-02T17:05:02Z,2.99,94,894,77,TypeScript,683,2899,3582,0.8093
rasbt/LLMs-from-scratch,87304,2023-07-23T18:15:57Z,2026-03-04T14:47:06Z,2.62,2,481,0,Jupyter Notebook,0,218,218,1.0
django/django,86995,2012-04-28T02:47:18Z,2026-03-06T22:32:33Z,13.85,0,10329,0,Python,0,0,0,0.0
gohugoio/hugo,86935,2013-07-04T15:26:26Z,2026-03-06T11:23:28Z,12.67,0,3239,365,Go,244,7792,8036,0.9696
mermaid-js/mermaid,86523,2014-11-01T23:52:32Z,2026-03-06T15:14:42Z,11.34,0,2588,179,TypeScript,1367,2211,3578,0.6179
opencv/opencv,86465,2012-07-19T09:40:17Z,2026-03-06T12:55:02Z,13.63,0,13505,67,C++,2571,8866,11437,0.7752
sveltejs/svelte,86016,2016-11-20T18:13:05Z,2026-03-06T21:20:08Z,9.29,0,6521,606,JavaScript,916,8009,8925,0.8974
anthropics/skills,85951,2025-09-22T15:53:31Z,2026-03-06T20:06:23Z,0.45,0,22,0,Python,128,22,150,0.1467
ruanyf/weekly,85294,2018-10-13T12:36:07Z,2026-03-06T03:44:55Z,7.39,0,106,0,None,7210,1289,8499,0.1517
home-assistant/core,85179,2013-09-17T07:29:48Z,2026-03-06T23:39:35Z,12.47,0,82631,1000,Python,2923,65401,68324,0.9572
3b1b/manim,85002,2015-03-22T18:50:58Z,2026-02-13T02:32:17Z,10.96,21,661,13,Python,458,766,1224,0.6258
microsoft/ML-For-Beginners,84164,2021-03-03T01:34:05Z,2026-03-05T00:26:44Z,5.01,1,446,0,Jupyter Notebook,0,158,158,1.0
laravel/laravel,83912,2011-06-08T03:06:08Z,2026-02-26T14:40:23Z,14.74,8,1670,211,Blade,0,0,0,0.0
louislam/uptime-kuma,83720,2021-07-03T01:02:42Z,2026-03-06T14:35:49Z,4.67,0,1688,125,JavaScript,660,3984,4644,0.8579
microsoft/playwright,83640,2019-11-15T18:32:42Z,2026-03-06T18:38:54Z,6.31,0,16283,158,TypeScript,591,16508,17099,0.9654
MunGell/awesome-for-beginners,83207,2015-10-24T19:53:36Z,2026-02-24T16:38:35Z,10.37,10,469,0,None,17,188,205,0.9171
